epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,243.274,1.52133,0.64763,1.17028,0.00455,0.00275,0.00258,0.00067,1.45541,0.49041,1.26293,0.0670577,0.000332751,0.000332751
2,462.441,1.38688,0.53435,1.03811,0.18108,0.0114,0.00724,0.00197,1.25363,0.69451,1.10705,0.0340511,0.00065949,0.00065949
3,676.089,1.24185,0.63706,0.84696,0.02444,0.01458,0.01498,0.00406,1.06687,0.77562,0.79715,0.0010379,0.000979629,0.000979629
4,890.344,1.11768,0.72506,0.68032,0.23895,0.07604,0.04036,0.01244,0.97318,0.87338,0.6914,0.0009703,0.0009703,0.0009703
5,1103.59,1.05843,0.77702,0.63019,0.15464,0.13035,0.05115,0.01667,0.9203,0.93938,0.60294,0.0009604,0.0009604,0.0009604
6,1318.57,1.00901,0.81623,0.56428,0.08863,0.13809,0.063,0.02726,0.83265,0.93937,0.53161,0.0009505,0.0009505,0.0009505
7,1537.14,0.92955,0.8673,0.50194,0.11319,0.16222,0.08035,0.03595,0.76785,1.01049,0.48234,0.0009406,0.0009406,0.0009406
8,1755.81,0.89131,0.88526,0.47931,0.14927,0.14621,0.08693,0.04111,0.73312,1.01629,0.46016,0.0009307,0.0009307,0.0009307
9,1973.47,0.86341,0.91034,0.46596,0.32632,0.1415,0.09522,0.04259,0.72531,1.0224,0.44999,0.0009208,0.0009208,0.0009208
10,2188.88,0.84763,0.91634,0.45024,0.25018,0.2136,0.11035,0.0534,0.68025,1.02886,0.40669,0.0009109,0.0009109,0.0009109
11,2404.89,0.80907,0.93847,0.42181,0.30757,0.21478,0.10787,0.05323,0.65139,1.06268,0.39855,0.000901,0.000901,0.000901
12,2623.91,0.76211,0.97539,0.39664,0.33354,0.17962,0.12386,0.06317,0.6112,1.12693,0.35827,0.0008911,0.0008911,0.0008911
13,2848.82,0.74323,0.98871,0.38374,0.24117,0.22614,0.12467,0.06409,0.60218,1.08737,0.35831,0.0008812,0.0008812,0.0008812
14,3072.34,0.73889,0.98075,0.37047,0.41358,0.22519,0.13998,0.07606,0.58889,1.094,0.34472,0.0008713,0.0008713,0.0008713
15,3294.34,0.72269,0.98888,0.36692,0.2456,0.27331,0.13169,0.06914,0.57824,1.06641,0.34149,0.0008614,0.0008614,0.0008614
16,3511.52,0.67654,1.00842,0.34168,0.16832,0.28527,0.14323,0.08248,0.54171,1.09351,0.31602,0.0008515,0.0008515,0.0008515
17,3724.94,0.67721,1.00427,0.33753,0.32742,0.30341,0.15242,0.07809,0.58728,1.05435,0.33642,0.0008416,0.0008416,0.0008416
18,3937.71,0.66329,1.02183,0.32533,0.33147,0.33811,0.14591,0.08398,0.52984,1.09786,0.3074,0.0008317,0.0008317,0.0008317
19,4151.08,0.64165,1.03358,0.3177,0.18611,0.32463,0.15252,0.08586,0.51727,1.10276,0.29698,0.0008218,0.0008218,0.0008218
20,4369.12,0.6352,1.01962,0.31013,0.37852,0.30964,0.15326,0.09331,0.50515,1.09166,0.29287,0.0008119,0.0008119,0.0008119
21,4587.11,0.61947,1.01882,0.30177,0.34499,0.32101,0.16254,0.09543,0.52414,1.07824,0.29348,0.000802,0.000802,0.000802
22,4808.83,0.62527,1.018,0.30508,0.35315,0.33646,0.16877,0.10559,0.48688,1.07929,0.27522,0.0007921,0.0007921,0.0007921
23,5024.37,0.59827,1.01445,0.28709,0.37753,0.3315,0.1975,0.12299,0.49695,1.05174,0.28438,0.0007822,0.0007822,0.0007822
24,5236.48,0.60485,1.00458,0.29267,0.41732,0.32699,0.17268,0.1059,0.49872,1.07887,0.28115,0.0007723,0.0007723,0.0007723
25,5450.22,0.5992,1.00388,0.286,0.26726,0.3496,0.20019,0.12161,0.49039,1.04341,0.28402,0.0007624,0.0007624,0.0007624
26,5669.42,0.5816,1.00407,0.27991,0.27538,0.33375,0.18192,0.11376,0.4732,1.07795,0.26774,0.0007525,0.0007525,0.0007525
27,5884.84,0.57808,1.00917,0.27698,0.30708,0.32527,0.2096,0.13027,0.47678,1.04295,0.26714,0.0007426,0.0007426,0.0007426
28,6104.6,0.56865,0.99864,0.26943,0.30019,0.3309,0.19146,0.12338,0.46244,1.04853,0.25758,0.0007327,0.0007327,0.0007327
29,6326.6,0.56835,1.0044,0.27092,0.39008,0.34928,0.20578,0.13266,0.46476,1.03889,0.26553,0.0007228,0.0007228,0.0007228
30,6542.47,0.5687,0.98496,0.27114,0.31948,0.35442,0.22125,0.13829,0.47129,1.00991,0.26332,0.0007129,0.0007129,0.0007129
31,6759.73,0.56241,0.97892,0.26766,0.42138,0.34105,0.2414,0.15648,0.46716,1.01265,0.26337,0.000703,0.000703,0.000703
32,6981.57,0.5602,0.95597,0.26961,0.4693,0.34131,0.26922,0.17507,0.4865,0.95017,0.27601,0.0006931,0.0006931,0.0006931
33,7202.2,0.56369,0.92745,0.27158,0.47475,0.34742,0.28059,0.18895,0.47163,0.95014,0.26571,0.0006832,0.0006832,0.0006832
34,7419.78,0.56049,0.92726,0.27421,0.49763,0.34682,0.3077,0.20202,0.47266,0.92726,0.26659,0.0006733,0.0006733,0.0006733
35,7638.48,0.55809,0.91265,0.26771,0.44541,0.37144,0.32194,0.20182,0.48492,0.89476,0.27231,0.0006634,0.0006634,0.0006634
36,7852.14,0.56557,0.91139,0.27515,0.44406,0.34855,0.31209,0.20123,0.47332,0.9021,0.26642,0.0006535,0.0006535,0.0006535
37,8070.74,0.55536,0.89885,0.26587,0.41592,0.3705,0.30893,0.20598,0.45885,0.92625,0.25713,0.0006436,0.0006436,0.0006436
38,8290.58,0.55893,0.87534,0.2636,0.43283,0.38497,0.335,0.218,0.47765,0.87078,0.27064,0.0006337,0.0006337,0.0006337
39,8511.5,0.54818,0.87592,0.26361,0.55627,0.36777,0.3563,0.23649,0.46774,0.86977,0.26463,0.0006238,0.0006238,0.0006238
40,8728.23,0.55367,0.87951,0.26049,0.55609,0.36656,0.33655,0.22555,0.47501,0.85384,0.27094,0.0006139,0.0006139,0.0006139
