epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,269.651,1.5109,0.59679,1.14748,0.00894,0.00148,0.005,0.00163,1.44531,0.5804,1.25332,0.0670577,0.000332751,0.000332751
2,489.621,1.38743,0.52409,1.04762,0.11714,0.01647,0.0176,0.0046,1.23076,0.64635,1.06431,0.0340511,0.00065949,0.00065949
3,707.29,1.27339,0.57305,0.91271,0.13514,0.08001,0.03893,0.01095,1.0754,0.74406,0.84058,0.0010379,0.000979629,0.000979629
4,928.296,1.13534,0.67832,0.70331,0.19951,0.10383,0.05936,0.0183,0.97836,0.82593,0.68008,0.0009703,0.0009703,0.0009703
5,1149.39,1.0527,0.74771,0.61288,0.09121,0.1136,0.07163,0.02451,0.91738,0.84429,0.62594,0.0009604,0.0009604,0.0009604
6,1368.79,0.96457,0.82716,0.53819,0.19621,0.112,0.07058,0.03285,0.8073,0.94058,0.51062,0.0009505,0.0009505,0.0009505
7,1584.33,0.88017,0.88473,0.46773,0.25208,0.2018,0.10129,0.04599,0.72955,0.99464,0.44573,0.0009406,0.0009406,0.0009406
8,1797.24,0.83414,0.90954,0.43684,0.18626,0.19979,0.11619,0.05719,0.68041,1.00321,0.41231,0.0009307,0.0009307,0.0009307
9,2012.79,0.79838,0.97849,0.42141,0.23795,0.16534,0.11266,0.05741,0.66274,1.04957,0.40257,0.0009208,0.0009208,0.0009208
10,2230.36,0.77452,0.95561,0.40232,0.22958,0.25009,0.11477,0.05664,0.64481,1.03804,0.38267,0.0009109,0.0009109,0.0009109
11,2445.88,0.75676,0.96363,0.38936,0.3371,0.25833,0.12049,0.0673,0.61708,1.04695,0.36197,0.000901,0.000901,0.000901
12,2663.1,0.7153,0.98484,0.37006,0.33311,0.27185,0.12473,0.07016,0.59882,1.05355,0.35977,0.0008911,0.0008911,0.0008911
