epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,253.069,0.95671,0.77687,0.3488,0.20153,0.29161,0.18899,0.10044,0.85062,0.75213,0.31005,0.067218,0.000499218,0.000499218
2,487.291,0.81155,0.76177,0.26747,0.31873,0.2338,0.23114,0.15457,0.72087,0.84117,0.28773,0.0343845,0.000998971,0.000998971
3,719.504,0.76933,0.7723,0.27817,0.34688,0.17133,0.19327,0.12541,0.74001,0.78361,0.29698,0.00154991,0.00149774,0.00149774
4,949.351,0.77755,0.77053,0.28976,0.29645,0.19554,0.20674,0.12696,0.7511,0.72685,0.3007,0.00149668,0.00149668,0.00149668
5,1180.88,0.75495,0.72511,0.27961,0.28823,0.21599,0.19371,0.11277,0.74984,0.72389,0.30798,0.00149409,0.00149409,0.00149409
6,1413.76,0.73848,0.69375,0.26724,0.43331,0.21603,0.23179,0.14262,0.75446,0.69852,0.29788,0.00149078,0.00149078,0.00149078
7,1644.99,0.74035,0.69082,0.26723,0.45382,0.22767,0.24467,0.1557,0.71438,0.68948,0.28077,0.00148674,0.00148674,0.00148674
8,1877.02,0.73231,0.68146,0.26492,0.49267,0.29568,0.29941,0.19925,0.71132,0.69304,0.27536,0.00148196,0.00148196,0.00148196
9,2115.31,0.71119,0.67708,0.25552,0.35386,0.24514,0.25441,0.16431,0.72061,0.69799,0.27428,0.00147647,0.00147647,0.00147647
10,2355.39,0.71854,0.67841,0.25804,0.39747,0.29221,0.30015,0.19615,0.70802,0.67627,0.27462,0.00147026,0.00147026,0.00147026
11,2623.21,0.69412,0.66275,0.24352,0.47532,0.30573,0.33075,0.22301,0.69199,0.66073,0.27035,0.00146335,0.00146335,0.00146335
12,2864.98,0.68122,0.65041,0.23815,0.5009,0.32475,0.36974,0.25743,0.68977,0.65672,0.26317,0.00145573,0.00145573,0.00145573
13,3109.04,0.66777,0.63464,0.23142,0.53748,0.31188,0.34592,0.23346,0.68453,0.65653,0.26319,0.00144741,0.00144741,0.00144741
1,285.057,1.01735,0.77691,0.40745,0.21488,0.26921,0.14414,0.07901,0.77558,0.86182,0.27566,0.0672102,0.000499337,0.000499337
2,558.682,0.75517,0.86104,0.26747,0.45501,0.24057,0.26001,0.1588,0.688,0.79751,0.25388,0.0343766,0.000999091,0.000999091
3,822.482,0.73387,0.80491,0.26944,0.45368,0.22898,0.25854,0.1693,0.67089,0.81488,0.25139,0.00154207,0.00149786,0.00149786
4,1081.32,0.72335,0.80983,0.27024,0.32918,0.22471,0.236,0.14924,0.73952,0.7786,0.29713,0.00149668,0.00149668,0.00149668
5,1339.37,0.76394,0.80609,0.29733,0.31719,0.16921,0.19074,0.12129,0.72681,0.79884,0.28917,0.00149409,0.00149409,0.00149409
6,1598.12,0.7504,0.7893,0.28597,0.34236,0.23178,0.22803,0.15086,0.70112,0.78106,0.26511,0.00149078,0.00149078,0.00149078
7,1854.48,0.73395,0.7571,0.27511,0.40537,0.26596,0.2994,0.19025,0.70138,0.74698,0.27661,0.00148674,0.00148674,0.00148674
8,2111.64,0.70978,0.73658,0.26262,0.52814,0.22514,0.27924,0.18333,0.70483,0.72634,0.26896,0.00148196,0.00148196,0.00148196
9,2369.03,0.69661,0.7125,0.25446,0.38949,0.29689,0.29723,0.19073,0.69187,0.72309,0.26556,0.00147647,0.00147647,0.00147647
10,2636.91,0.69016,0.70922,0.25191,0.35952,0.32026,0.33112,0.22265,0.67796,0.70676,0.2674,0.00147026,0.00147026,0.00147026
11,2897.24,0.68067,0.7029,0.25118,0.52317,0.29427,0.33037,0.20877,0.67733,0.70987,0.25985,0.00146335,0.00146335,0.00146335
12,3158.12,0.66791,0.68275,0.24036,0.51151,0.29525,0.34188,0.21836,0.67292,0.70013,0.25181,0.00145573,0.00145573,0.00145573
13,3417.34,0.65968,0.6819,0.2374,0.48133,0.28832,0.33934,0.2182,0.66102,0.7125,0.24834,0.00144741,0.00144741,0.00144741
14,3676.27,0.668,0.67737,0.24097,0.49704,0.3151,0.33799,0.22021,0.67782,0.68843,0.24909,0.00143841,0.00143841,0.00143841
15,3935.32,0.65987,0.67795,0.23553,0.49369,0.27597,0.32563,0.21299,0.67818,0.71293,0.26803,0.00142873,0.00142873,0.00142873
16,4204.41,0.65633,0.67627,0.2312,0.50745,0.27738,0.31366,0.20332,0.64382,0.71053,0.24374,0.00141838,0.00141838,0.00141838
17,4473.98,0.65176,0.66527,0.23289,0.36938,0.31704,0.3243,0.21771,0.66383,0.69649,0.25251,0.00140737,0.00140737,0.00140737
18,4744.05,0.64095,0.65965,0.22686,0.53132,0.31875,0.36329,0.23562,0.64806,0.69671,0.23618,0.00139571,0.00139571,0.00139571
19,5008.3,0.64293,0.65874,0.22746,0.52852,0.2814,0.31284,0.21163,0.66629,0.69757,0.25484,0.00138342,0.00138342,0.00138342
20,5267.39,0.64311,0.65703,0.22342,0.56481,0.27899,0.3403,0.22018,0.64366,0.69929,0.24203,0.0013705,0.0013705,0.0013705
21,5526.34,0.62858,0.6481,0.21992,0.48053,0.34232,0.37343,0.24838,0.66491,0.68009,0.24329,0.00135698,0.00135698,0.00135698
22,5785.87,0.62378,0.63331,0.21594,0.51815,0.31422,0.36851,0.2314,0.64431,0.68376,0.24194,0.00134285,0.00134285,0.00134285
23,6044.84,0.61811,0.62614,0.2095,0.6035,0.30261,0.37375,0.24749,0.64812,0.69086,0.24194,0.00132814,0.00132814,0.00132814
24,6301.8,0.61283,0.62351,0.20985,0.54859,0.27952,0.34357,0.22688,0.65332,0.67506,0.24642,0.00131286,0.00131286,0.00131286
25,6561.52,0.60523,0.61612,0.20536,0.60467,0.30394,0.36315,0.22449,0.65488,0.68169,0.2448,0.00129703,0.00129703,0.00129703
26,6822.14,0.60204,0.62268,0.20598,0.44064,0.33859,0.34774,0.234,0.64704,0.69209,0.24016,0.00128066,0.00128066,0.00128066
27,7082.18,0.6,0.61212,0.20473,0.50636,0.30555,0.33997,0.21897,0.6454,0.6897,0.23454,0.00126377,0.00126377,0.00126377
28,7344.73,0.59284,0.60244,0.19899,0.47553,0.35065,0.3803,0.24728,0.64486,0.67574,0.24227,0.00124636,0.00124636,0.00124636
29,7604.18,0.5896,0.60494,0.1958,0.53552,0.29673,0.34802,0.22548,0.65323,0.69242,0.247,0.00122848,0.00122848,0.00122848
30,7865.2,0.58928,0.60367,0.19794,0.64078,0.29892,0.37539,0.24536,0.64246,0.67837,0.25142,0.00121012,0.00121012,0.00121012
31,8125.33,0.59209,0.60789,0.19872,0.56477,0.33128,0.35969,0.23169,0.65185,0.68098,0.25133,0.0011913,0.0011913,0.0011913
32,8384.84,0.58585,0.59829,0.19592,0.53805,0.34292,0.36488,0.25121,0.63705,0.69158,0.23822,0.00117206,0.00117206,0.00117206
33,8641.96,0.58341,0.59708,0.19425,0.5138,0.3392,0.38719,0.25838,0.6586,0.67051,0.24533,0.00115239,0.00115239,0.00115239
34,8899.71,0.58177,0.59315,0.1937,0.44741,0.36692,0.38176,0.25048,0.65755,0.68313,0.24701,0.00113233,0.00113233,0.00113233
35,9158.11,0.57966,0.59205,0.19429,0.46226,0.40315,0.4046,0.26162,0.64481,0.66865,0.25024,0.0011119,0.0011119,0.0011119
36,9419.21,0.56103,0.57549,0.18115,0.58665,0.36973,0.39482,0.26569,0.63796,0.66449,0.24217,0.00109111,0.00109111,0.00109111
