epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2418,1.53161,1.40077,1.29359,0,0,0,0,1.3667,0.55987,1.16628,0.0675707,0.000729494,0.000729494
2,164.066,1.29737,0.62244,0.98121,0.00247,0.00021,0.00099,0.0002,1.36261,0.59552,0.98938,0.0349704,0.00146258,0.00146258
3,237.837,1.2281,0.6604,0.84581,0.00762,0.01959,0.00385,0.00087,1.30354,0.68453,0.92431,0.00236918,0.00219466,0.00219466
4,310.099,1.17542,0.70707,0.75854,0.02275,0.02718,0.01709,0.00394,1.17228,0.69152,0.787,0.00219661,0.00219661,0.00219661
5,383.082,1.13237,0.73281,0.70517,0.00358,0.0017,0.00187,0.00063,1.27167,0.69942,1.02274,0.00219398,0.00219398,0.00219398
6,455.567,1.08487,0.75924,0.66462,0.29679,0.03634,0.02695,0.00653,1.05144,0.74696,0.70109,0.0021906,0.0021906,0.0021906
7,528.438,1.00088,0.81394,0.60047,0.16418,0.04386,0.04173,0.01133,1.00431,0.80273,0.66296,0.00218648,0.00218648,0.00218648
8,601.418,0.93469,0.86745,0.55517,0.29855,0.03908,0.0263,0.00863,1.14311,0.64381,0.86044,0.00218161,0.00218161,0.00218161
9,673.946,0.8594,0.92718,0.49831,0.3522,0.14086,0.07885,0.03264,0.8191,0.94769,0.50853,0.002176,0.002176,0.002176
10,746.205,0.81834,0.95266,0.46846,0.09342,0.08206,0.05406,0.02039,0.92075,0.84882,0.65858,0.00216965,0.00216965,0.00216965
11,818.937,0.78196,0.97138,0.44418,0.31455,0.17489,0.10493,0.04656,0.72901,0.97217,0.43515,0.00216257,0.00216257,0.00216257
12,891.677,0.76414,0.98493,0.42663,0.27372,0.20043,0.11385,0.05558,0.73577,0.98084,0.43813,0.00215477,0.00215477,0.00215477
13,964.021,0.72601,1.00213,0.40551,0.14291,0.23037,0.1169,0.05189,0.76322,0.91922,0.46152,0.00214624,0.00214624,0.00214624
14,1036.22,0.70831,1.0073,0.39142,0.24882,0.25239,0.12117,0.06249,0.65532,1.02792,0.3799,0.002137,0.002137,0.002137
15,1108.77,0.70006,1.02185,0.38154,0.32997,0.28076,0.13096,0.06686,0.63703,1.02671,0.36147,0.00212705,0.00212705,0.00212705
16,1180.95,0.66417,1.03614,0.36437,0.31808,0.26922,0.12649,0.06509,0.63989,1.02742,0.36468,0.00211639,0.00211639,0.00211639
17,1253.45,0.66002,1.06131,0.35549,0.23701,0.27886,0.13356,0.06712,0.65187,1.02833,0.36827,0.00210504,0.00210504,0.00210504
18,1325.72,0.64616,1.04434,0.33957,0.3314,0.26155,0.13055,0.07027,0.60331,1.02931,0.33967,0.002093,0.002093,0.002093
19,1397.9,0.62347,1.05905,0.33467,0.33517,0.25611,0.12302,0.06595,0.60856,1.07276,0.36217,0.00208029,0.00208029,0.00208029
20,1469.81,0.62934,1.0549,0.33223,0.24675,0.27067,0.12093,0.06516,0.59843,1.06707,0.34606,0.0020669,0.0020669,0.0020669
21,1541.76,0.61608,1.05363,0.31933,0.23344,0.32064,0.13382,0.07625,0.55023,1.08495,0.29551,0.00205285,0.00205285,0.00205285
22,1614.11,0.60495,1.05903,0.3256,0.23592,0.33398,0.14907,0.08497,0.55573,1.06611,0.31399,0.00203815,0.00203815,0.00203815
23,1686.63,0.64947,1.03178,0.35139,0.26066,0.2374,0.14502,0.07302,0.64209,1.00802,0.37331,0.0020228,0.0020228,0.0020228
24,1758.71,0.64156,1.03198,0.34003,0.28431,0.27509,0.15151,0.08351,0.59119,1.01783,0.33673,0.00200683,0.00200683,0.00200683
25,1830.56,0.61691,1.02836,0.32714,0.24704,0.31617,0.1545,0.08745,0.56447,1.01719,0.32098,0.00199023,0.00199023,0.00199023
26,1902.52,0.63424,1.00497,0.33514,0.25294,0.25491,0.13526,0.0723,0.61083,1.02246,0.34645,0.00197303,0.00197303,0.00197303
27,1974.55,0.63321,1.01441,0.34054,0.25144,0.33461,0.14425,0.0838,0.58125,1.04055,0.32616,0.00195523,0.00195523,0.00195523
28,2046.54,0.60873,1.01239,0.32484,0.17298,0.36768,0.16061,0.09136,0.57468,1.0001,0.32494,0.00193684,0.00193684,0.00193684
29,2118.15,0.59721,1.02468,0.31401,0.34104,0.31923,0.16127,0.09096,0.54156,1.02217,0.30531,0.00191788,0.00191788,0.00191788
30,2190,0.58411,1.03288,0.30479,0.337,0.29494,0.14652,0.0812,0.59575,0.98426,0.35298,0.00189836,0.00189836,0.00189836
31,2264.38,0.61125,0.99824,0.32015,0.35693,0.30806,0.17057,0.09839,0.55387,1.0179,0.31061,0.0018783,0.0018783,0.0018783
32,2338.65,0.58002,1.00291,0.30177,0.2799,0.31329,0.16987,0.10035,0.52752,1.01668,0.29456,0.0018577,0.0018577,0.0018577
33,2412.63,0.56554,1.02171,0.29353,0.4071,0.28867,0.17398,0.10374,0.55637,0.99297,0.31739,0.00183659,0.00183659,0.00183659
34,2485.44,0.55365,1.023,0.29003,0.20319,0.32103,0.18317,0.11423,0.53037,1.02651,0.29564,0.00181497,0.00181497,0.00181497
35,2557.46,0.60793,1.0938,0.32576,0.23135,0.27524,0.1149,0.05871,0.64707,1.05432,0.38779,0.00179286,0.00179286,0.00179286
36,2629.13,0.65781,1.03043,0.35946,0.17183,0.26179,0.13434,0.07336,0.64574,1.01471,0.3749,0.00177028,0.00177028,0.00177028
37,2701.94,0.61832,0.98453,0.33442,0.27111,0.21669,0.16214,0.08459,0.63264,0.99602,0.38526,0.00174724,0.00174724,0.00174724
38,2775.13,0.60381,0.971,0.31916,0.2676,0.33405,0.21487,0.12419,0.54853,0.95683,0.31311,0.00172376,0.00172376,0.00172376
39,2847.63,0.57976,0.98226,0.30316,0.31273,0.25142,0.17521,0.10693,0.59612,1.0784,0.34399,0.00169985,0.00169985,0.00169985
40,2920.29,0.56341,1.01177,0.2922,0.3759,0.31618,0.18942,0.11625,0.51111,1.01582,0.27988,0.00167554,0.00167554,0.00167554
41,2992.47,0.54273,1.01122,0.2766,0.22908,0.31253,0.19253,0.11427,0.49941,1.01204,0.27802,0.00165083,0.00165083,0.00165083
42,3064.41,0.53717,1.02477,0.27837,0.38267,0.34425,0.18963,0.11864,0.48244,1.04062,0.2677,0.00162574,0.00162574,0.00162574
43,3136.78,0.53041,1.02264,0.27227,0.29814,0.30735,0.19227,0.11243,0.48252,1.06615,0.25944,0.00160029,0.00160029,0.00160029
