epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,277.479,1.6728,0.37557,1.14175,0,0,0,0,1.72872,0.2773,1.17559,0.0673101,0.000599204,0.000599204
2,537.19,1.60081,0.37934,1.03269,0,0,0,0,1.52301,0.41393,0.96756,0.0345765,0.00119891,0.00119891
3,795.885,1.56136,0.40001,1.00923,0.05619,0.00049,0.00027,8e-05,1.50837,0.44401,0.94776,0.00184164,0.00179743,0.00179743
4,1055.74,1.4899,0.45999,0.88671,0.00195,0.0012,0.00113,0.00019,1.41116,0.49231,0.79566,0.00179601,0.00179601,0.00179601
5,1318.33,1.44175,0.51113,0.73072,0.00097,0.00056,0.0005,0.00014,1.43749,0.49468,0.71907,0.00179291,0.00179291,0.00179291
6,1581.3,1.42718,0.52029,0.71565,0.09443,0.00138,0.00102,0.00023,1.40367,0.53532,0.70318,0.00178894,0.00178894,0.00178894
7,1839.97,1.39404,0.54564,0.68442,0.00244,0.00056,0.00136,0.00034,1.36659,0.53991,0.70514,0.00178408,0.00178408,0.00178408
8,2106.91,1.42272,0.52331,0.72865,0.02228,0.00076,0.00242,0.00067,1.37796,0.53571,0.71836,0.00177836,0.00177836,0.00177836
9,2374.84,1.38205,0.55352,0.69171,0.01454,0.00474,0.00905,0.00211,1.35237,0.55058,0.68073,0.00177177,0.00177177,0.00177177
10,2642.33,1.35164,0.58088,0.66403,0.00686,0.00454,0.00471,0.00183,1.31793,0.57464,0.691,0.00176432,0.00176432,0.00176432
11,2912.71,1.3267,0.59643,0.64205,0.06135,0.0071,0.0041,0.00132,1.31214,0.58356,0.66872,0.00175602,0.00175602,0.00175602
12,3173.07,1.31405,0.60682,0.61905,0.15598,0.00615,0.00426,0.00125,1.28714,0.59287,0.62043,0.00174687,0.00174687,0.00174687
13,3432.15,1.28892,0.6184,0.60354,0.0162,0.00939,0.01111,0.00323,1.2771,0.59819,0.59185,0.00173689,0.00173689,0.00173689
