epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,160.787,1.45677,1.02631,1.20603,0,0,0,0,1.4995,0.47547,1.15747,0.0673479,0.000564685,0.000564685
2,293.423,1.27567,0.64777,0.90831,0.00937,0.00247,0.00439,0.00076,1.21065,0.67413,0.88025,0.034581,0.00113116,0.00113116
3,423.665,1.17717,0.70101,0.769,0.02344,0.014,0.01357,0.00306,1.13984,0.68043,0.73722,0.00181341,0.00169686,0.00169686
4,553.69,1.05732,0.76638,0.66472,0.12384,0.0949,0.04114,0.01392,0.9692,0.83963,0.63206,0.00169738,0.00169738,0.00169738
5,681.898,0.93359,0.87154,0.56098,0.20192,0.09264,0.07474,0.03065,0.85498,0.90676,0.51255,0.00169535,0.00169535,0.00169535
6,810.957,0.84522,0.95195,0.49338,0.27128,0.14308,0.07564,0.03346,0.79118,0.95847,0.49137,0.00169274,0.00169274,0.00169274
7,940.966,0.80731,0.9743,0.46033,0.1991,0.21984,0.09044,0.03887,0.75424,0.98727,0.45245,0.00168955,0.00168955,0.00168955
8,1071.84,0.80522,0.97168,0.47127,0.24412,0.13315,0.10276,0.04728,0.76577,0.94892,0.46374,0.00168579,0.00168579,0.00168579
9,1202.45,0.7794,1.00325,0.44299,0.44073,0.13073,0.08786,0.04062,0.71267,1.03903,0.43422,0.00168145,0.00168145,0.00168145
10,1332.13,0.74426,1.0232,0.42146,0.24871,0.19007,0.09865,0.04685,0.70505,1.0014,0.40813,0.00167655,0.00167655,0.00167655
11,1466.38,0.7984,0.99398,0.46497,0.26873,0.18686,0.07445,0.032,0.78075,0.99265,0.47642,0.00167108,0.00167108,0.00167108
12,1597.79,0.76984,0.99242,0.44196,0.17311,0.19421,0.10873,0.05572,0.70684,1.01465,0.42902,0.00166505,0.00166505,0.00166505
13,1725.81,0.74064,1.00241,0.41993,0.15522,0.22505,0.11102,0.05759,0.70294,0.97719,0.42453,0.00165846,0.00165846,0.00165846
14,1854.92,0.7259,1.00035,0.41776,0.335,0.18544,0.11804,0.05675,0.68875,0.97524,0.41228,0.00165132,0.00165132,0.00165132
15,1983.61,0.71642,0.99322,0.40626,0.33346,0.22954,0.11858,0.05978,0.67929,0.97507,0.40072,0.00164363,0.00164363,0.00164363
16,2111.94,0.71111,1.0029,0.40305,0.31319,0.23054,0.12285,0.06331,0.64509,1.01406,0.38074,0.00163539,0.00163539,0.00163539
17,2240.29,0.69698,1.01202,0.39213,0.31752,0.23313,0.12491,0.06571,0.64046,0.992,0.36869,0.00162662,0.00162662,0.00162662
18,2368.7,0.69834,0.99448,0.38168,0.24633,0.24866,0.13604,0.07142,0.67324,0.94954,0.39017,0.00161732,0.00161732,0.00161732
19,2497.49,0.68951,1.01861,0.38296,0.37728,0.23239,0.13176,0.06587,0.61644,1.02457,0.35647,0.00160749,0.00160749,0.00160749
20,2626.69,0.67811,0.99634,0.37755,0.34692,0.2568,0.1372,0.07627,0.60047,1.01752,0.34235,0.00159715,0.00159715,0.00159715
21,2757.95,0.6602,1.00444,0.36078,0.25547,0.27446,0.13698,0.07711,0.61587,0.99347,0.35314,0.00158629,0.00158629,0.00158629
22,2887.7,0.64279,1.0214,0.34966,0.34884,0.26185,0.15374,0.08427,0.59293,1.00925,0.33395,0.00157493,0.00157493,0.00157493
23,3017.43,0.65875,1.00354,0.35982,0.33856,0.26765,0.16772,0.09102,0.60087,0.99197,0.34406,0.00156308,0.00156308,0.00156308
24,3145.86,0.63756,1.0018,0.33856,0.2467,0.33419,0.17559,0.09863,0.56959,0.99718,0.32131,0.00155073,0.00155073,0.00155073
25,3273.88,0.63195,1.00856,0.3397,0.3757,0.2805,0.16122,0.09415,0.56978,1.01684,0.31561,0.00153791,0.00153791,0.00153791
26,3401.88,0.62569,1.00353,0.33333,0.17948,0.35812,0.16735,0.09307,0.5613,1.00562,0.31024,0.00152461,0.00152461,0.00152461
27,3530.2,0.61915,1.00034,0.33427,0.35262,0.3227,0.15138,0.0882,0.55598,0.99561,0.30667,0.00151086,0.00151086,0.00151086
28,3658.77,0.6186,1.00937,0.33324,0.28302,0.31396,0.17009,0.09909,0.54914,0.99331,0.29882,0.00149665,0.00149665,0.00149665
29,3787.32,0.61375,0.98577,0.32748,0.38348,0.29784,0.17736,0.09958,0.56588,0.97411,0.31985,0.001482,0.001482,0.001482
30,3915.67,0.61045,0.98408,0.32588,0.30118,0.31811,0.19428,0.10827,0.54094,0.99596,0.29626,0.00146692,0.00146692,0.00146692
31,4045.01,0.60523,0.99041,0.31625,0.37238,0.30447,0.18142,0.10742,0.53474,0.98865,0.29487,0.00145141,0.00145141,0.00145141
32,4173.8,0.59775,0.97869,0.3166,0.35646,0.3535,0.18847,0.10856,0.54509,0.97651,0.29987,0.0014355,0.0014355,0.0014355
33,4305.67,0.59421,0.97422,0.31282,0.28495,0.33021,0.1881,0.1117,0.53538,0.96905,0.28749,0.00141918,0.00141918,0.00141918
34,4438.51,0.58813,0.98037,0.30829,0.18012,0.39181,0.17225,0.1034,0.54202,0.98016,0.31157,0.00140248,0.00140248,0.00140248
35,4569.58,0.5839,0.97784,0.31113,0.29975,0.29802,0.1829,0.10839,0.56904,0.99092,0.31754,0.00138539,0.00138539,0.00138539
36,4703.27,0.5734,0.99026,0.30093,0.27041,0.34918,0.17967,0.11031,0.52753,0.99653,0.28654,0.00136795,0.00136795,0.00136795
37,4836.47,0.57604,0.98312,0.29868,0.29094,0.32811,0.18808,0.11488,0.51938,0.98191,0.28924,0.00135014,0.00135014,0.00135014
38,4971.14,0.5811,0.96788,0.30408,0.23374,0.34952,0.20312,0.12278,0.51751,0.97087,0.28073,0.001332,0.001332,0.001332
39,5101.91,0.57511,0.96687,0.29771,0.31431,0.32044,0.21334,0.12801,0.50409,0.99006,0.26925,0.00131352,0.00131352,0.00131352
40,5235.77,0.5719,0.96824,0.29971,0.28713,0.35507,0.21975,0.13224,0.52572,0.96592,0.2937,0.00129473,0.00129473,0.00129473
41,5368.63,0.56716,0.95761,0.29146,0.24101,0.38708,0.21926,0.13635,0.50772,0.96085,0.27511,0.00127564,0.00127564,0.00127564
42,5498.66,0.56482,0.95901,0.29454,0.31707,0.33142,0.22288,0.13772,0.52246,0.95308,0.29669,0.00125625,0.00125625,0.00125625
43,5629.63,0.57974,0.95756,0.30021,0.29758,0.34956,0.19919,0.1179,0.52338,0.96241,0.28612,0.00123659,0.00123659,0.00123659
44,5766.27,0.58372,0.969,0.30985,0.29862,0.32332,0.20136,0.11853,0.54372,0.95049,0.31036,0.00121666,0.00121666,0.00121666
45,5897.7,0.58946,0.95197,0.31447,0.29899,0.32714,0.1917,0.11541,0.56731,0.96635,0.32576,0.00119648,0.00119648,0.00119648
46,6027.32,0.57108,0.9443,0.30024,0.34043,0.31893,0.22532,0.13869,0.5088,0.95861,0.27565,0.00117607,0.00117607,0.00117607
47,6157.11,0.56217,0.94029,0.28772,0.33227,0.32707,0.22845,0.14391,0.50539,0.95371,0.27592,0.00115543,0.00115543,0.00115543
48,6287.31,0.54998,0.9463,0.28739,0.27009,0.43107,0.23923,0.14639,0.50132,0.9703,0.2691,0.00113459,0.00113459,0.00113459
49,6416.88,0.54644,0.94731,0.28017,0.23943,0.36264,0.22701,0.14562,0.48955,0.96628,0.26327,0.00111355,0.00111355,0.00111355
50,6546.37,0.54643,0.94578,0.28095,0.30946,0.32414,0.22791,0.14399,0.49216,0.96015,0.2658,0.00109233,0.00109233,0.00109233
51,6676,0.54553,0.94566,0.27594,0.25069,0.37149,0.20973,0.13409,0.49318,0.96493,0.26578,0.00107094,0.00107094,0.00107094
52,6806.13,0.54061,0.94136,0.27637,0.32539,0.33823,0.2279,0.14443,0.48815,0.94516,0.26507,0.00104941,0.00104941,0.00104941
53,6934.72,0.53441,0.94403,0.2753,0.27769,0.38784,0.2406,0.15462,0.48407,0.97167,0.26063,0.00102773,0.00102773,0.00102773
54,7064.4,0.54112,0.93552,0.27127,0.35526,0.39568,0.24832,0.15524,0.4915,0.95924,0.26475,0.00100594,0.00100594,0.00100594
55,7198.68,0.53603,0.91991,0.27818,0.28559,0.39042,0.25135,0.15978,0.48312,0.95434,0.25644,0.000984045,0.000984045,0.000984045
56,7328.69,0.54282,0.95394,0.28152,0.29189,0.36052,0.25382,0.16265,0.48871,0.93887,0.26495,0.000962056,0.000962056,0.000962056
57,7460.02,0.54064,0.94036,0.27454,0.37152,0.39393,0.23614,0.14964,0.48057,0.97089,0.25641,0.000939991,0.000939991,0.000939991
58,7589.36,0.52991,0.92131,0.26976,0.32711,0.38435,0.26805,0.17102,0.48507,0.91817,0.26227,0.000917865,0.000917865,0.000917865
59,7719.31,0.52985,0.91265,0.27332,0.28583,0.34773,0.27058,0.16587,0.49126,0.92517,0.2664,0.000895694,0.000895694,0.000895694
60,7848.5,0.53088,0.92292,0.26928,0.27295,0.38109,0.25212,0.16159,0.48565,0.93211,0.26385,0.000873492,0.000873492,0.000873492
61,7977.9,0.53078,0.91485,0.27023,0.29578,0.36992,0.26834,0.1687,0.4915,0.92472,0.26686,0.000851275,0.000851275,0.000851275
62,8106.99,0.52879,0.90928,0.26899,0.27715,0.46384,0.27909,0.17359,0.49221,0.93394,0.26654,0.000829058,0.000829058,0.000829058
63,8235.22,0.5315,0.89126,0.27201,0.37248,0.38096,0.27921,0.18066,0.48542,0.91454,0.26152,0.000806856,0.000806856,0.000806856
64,8367.84,0.52173,0.90129,0.26826,0.28874,0.40716,0.27405,0.17586,0.47639,0.92942,0.26159,0.000784685,0.000784685,0.000784685
65,8499.62,0.53203,0.88975,0.27468,0.37787,0.39671,0.28555,0.18126,0.47893,0.91315,0.26296,0.000762559,0.000762559,0.000762559
66,8631.88,0.52773,0.88332,0.26239,0.32311,0.43494,0.26774,0.17254,0.48219,0.9032,0.26096,0.000740494,0.000740494,0.000740494
67,8763.22,0.5186,0.89194,0.26544,0.32753,0.4382,0.27972,0.17677,0.48663,0.92072,0.26374,0.000718505,0.000718505,0.000718505
68,8892.43,0.52095,0.90505,0.26617,0.29782,0.38252,0.27485,0.17895,0.48093,0.92819,0.26071,0.000696607,0.000696607,0.000696607
69,9020.84,0.52133,0.88649,0.26442,0.29323,0.4302,0.27781,0.17717,0.49282,0.9152,0.27252,0.000674815,0.000674815,0.000674815
70,9148.91,0.52257,0.87874,0.26439,0.29945,0.44028,0.30737,0.19461,0.48642,0.89191,0.26674,0.000653144,0.000653144,0.000653144
71,9277.62,0.52048,0.89247,0.26348,0.29299,0.40459,0.28507,0.18095,0.47355,0.93856,0.25215,0.000631609,0.000631609,0.000631609
72,9406.2,0.51172,0.89177,0.25882,0.31794,0.3837,0.28698,0.18219,0.47274,0.90514,0.25251,0.000610224,0.000610224,0.000610224
73,9534.84,0.51966,0.87929,0.26185,0.30233,0.39599,0.27634,0.17094,0.49378,0.91329,0.27229,0.000589005,0.000589005,0.000589005
74,9663.28,0.51897,0.8917,0.26536,0.27761,0.3913,0.26822,0.17075,0.4877,0.90673,0.26293,0.000567965,0.000567965,0.000567965
75,9792.63,0.5188,0.87993,0.26278,0.32654,0.37464,0.28761,0.18922,0.48567,0.89512,0.26333,0.000547119,0.000547119,0.000547119
76,9922.07,0.51593,0.87034,0.25966,0.43689,0.3807,0.30418,0.19671,0.47635,0.88752,0.25814,0.000526482,0.000526482,0.000526482
77,10051.7,0.51252,0.85277,0.25932,0.35047,0.43079,0.33605,0.21379,0.48682,0.87439,0.26511,0.000506067,0.000506067,0.000506067
78,10181.1,0.50623,0.86132,0.25735,0.34147,0.38783,0.30934,0.20113,0.47736,0.87914,0.25909,0.000485889,0.000485889,0.000485889
79,10309.7,0.50675,0.83876,0.25868,0.35343,0.38945,0.30401,0.1956,0.47854,0.87408,0.26053,0.000465962,0.000465962,0.000465962
80,10439.2,0.51012,0.83565,0.25702,0.37158,0.38461,0.31611,0.20206,0.48005,0.86364,0.26587,0.000446298,0.000446298,0.000446298
81,10568.3,0.51314,0.83185,0.2572,0.44604,0.39512,0.32387,0.21302,0.47189,0.87676,0.25733,0.000426913,0.000426913,0.000426913
82,10697.2,0.50111,0.84242,0.2516,0.32548,0.44787,0.31308,0.20625,0.47501,0.87841,0.26072,0.000407817,0.000407817,0.000407817
83,10826.7,0.50536,0.83521,0.25602,0.32977,0.45129,0.31511,0.20842,0.4733,0.86794,0.25987,0.000389026,0.000389026,0.000389026
84,10956.3,0.50267,0.84424,0.25261,0.38135,0.43502,0.339,0.21998,0.46942,0.86603,0.25713,0.000370552,0.000370552,0.000370552
85,11085.2,0.50248,0.83642,0.25098,0.45377,0.39727,0.32487,0.21366,0.47185,0.86503,0.26177,0.000352407,0.000352407,0.000352407
86,11214,0.4981,0.8272,0.25153,0.38629,0.41534,0.35148,0.22752,0.46665,0.86153,0.25739,0.000334604,0.000334604,0.000334604
87,11344.9,0.50063,0.82148,0.24973,0.35986,0.39639,0.33887,0.22301,0.47198,0.86073,0.25513,0.000317155,0.000317155,0.000317155
88,11474.2,0.49865,0.81129,0.25287,0.45399,0.39234,0.33582,0.21843,0.47866,0.84041,0.26405,0.000300072,0.000300072,0.000300072
89,11602.4,0.5025,0.80245,0.25073,0.37277,0.41654,0.3509,0.23138,0.47055,0.84318,0.25448,0.000283367,0.000283367,0.000283367
90,11731.5,0.49356,0.80998,0.25282,0.42539,0.38939,0.35526,0.22591,0.47211,0.84811,0.25804,0.000267051,0.000267051,0.000267051
91,11860.3,0.49558,0.80943,0.25003,0.39302,0.38878,0.34664,0.22773,0.46785,0.85006,0.25505,0.000251136,0.000251136,0.000251136
92,11992.4,0.49579,0.80687,0.24754,0.41467,0.39672,0.35344,0.22709,0.47142,0.84134,0.25793,0.000235632,0.000235632,0.000235632
93,12122.7,0.50431,0.79725,0.24636,0.41487,0.39814,0.36228,0.23229,0.46444,0.84727,0.25131,0.000220549,0.000220549,0.000220549
94,12251.3,0.49575,0.79855,0.24898,0.43819,0.40571,0.37755,0.24597,0.46958,0.83198,0.25706,0.000205899,0.000205899,0.000205899
95,12380.2,0.49141,0.79447,0.24679,0.40847,0.41549,0.35839,0.23419,0.46894,0.83864,0.25771,0.000191692,0.000191692,0.000191692
96,12508.9,0.49323,0.79045,0.24798,0.39934,0.44846,0.36354,0.23855,0.46851,0.83162,0.25674,0.000177936,0.000177936,0.000177936
97,12637.4,0.49436,0.79085,0.24705,0.37252,0.46347,0.35578,0.23268,0.46936,0.83749,0.25658,0.000164642,0.000164642,0.000164642
98,12766.7,0.4884,0.79053,0.24569,0.40463,0.41841,0.36448,0.2349,0.46607,0.835,0.25698,0.000151819,0.000151819,0.000151819
99,12897,0.48391,0.79015,0.24438,0.4268,0.40442,0.37609,0.244,0.46199,0.83879,0.25283,0.000139474,0.000139474,0.000139474
100,13026.7,0.48623,0.78973,0.24781,0.43023,0.4064,0.38563,0.24933,0.46788,0.82911,0.25776,0.000127618,0.000127618,0.000127618
101,13156.8,0.48847,0.7885,0.24766,0.45368,0.4209,0.38425,0.24957,0.46527,0.83627,0.25568,0.000116258,0.000116258,0.000116258
102,13287,0.48332,0.783,0.24223,0.48495,0.39978,0.38913,0.25257,0.46583,0.82648,0.25728,0.000105401,0.000105401,0.000105401
103,13416.3,0.48935,0.7775,0.24392,0.4239,0.43453,0.38834,0.25333,0.46515,0.83102,0.25411,9.50555e-05,9.50555e-05,9.50555e-05
104,13545.8,0.48986,0.77758,0.24356,0.47517,0.39523,0.38064,0.25093,0.46323,0.82695,0.25491,8.52283e-05,8.52283e-05,8.52283e-05
105,13675.7,0.48023,0.78007,0.2429,0.43779,0.40216,0.38824,0.25264,0.46128,0.82697,0.25149,7.59261e-05,7.59261e-05,7.59261e-05
106,13806.4,0.48315,0.78346,0.2448,0.44851,0.42073,0.39044,0.25429,0.46461,0.82774,0.25366,6.71553e-05,6.71553e-05,6.71553e-05
107,13936.7,0.48065,0.77654,0.24088,0.40197,0.48086,0.39466,0.25191,0.46425,0.8256,0.25537,5.8922e-05,5.8922e-05,5.8922e-05
108,14066.8,0.47919,0.77963,0.23785,0.44704,0.40986,0.38499,0.24634,0.46366,0.82772,0.2524,5.12316e-05,5.12316e-05,5.12316e-05
109,14196.4,0.48512,0.7726,0.23668,0.44155,0.41872,0.38231,0.24997,0.4616,0.82304,0.25267,4.40896e-05,4.40896e-05,4.40896e-05
