epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,200.921,1.41372,0.80872,1.18042,0.09076,0.00011,0.00353,0.00071,1.38035,0.53802,1.14216,0.0672528,0.000498688,0.000498688
2,373.002,1.27064,0.65034,0.92871,0.01334,0.00251,0.00704,0.00169,1.27121,0.61024,0.88946,0.0344193,0.000998517,0.000998517
3,542.714,1.19542,0.6814,0.8315,0.43896,0.03511,0.02042,0.00591,1.1185,0.71156,0.76784,0.00158515,0.00149766,0.00149766
4,711.012,1.09269,0.74204,0.71502,0.23954,0.05045,0.04276,0.01361,0.99748,0.76971,0.6356,0.00149769,0.00149769,0.00149769
5,884.449,0.99875,0.80299,0.62189,0.44742,0.07393,0.06427,0.02017,0.94907,0.79076,0.59839,0.0014959,0.0014959,0.0014959
6,1058.29,0.9289,0.84581,0.56442,0.29151,0.12748,0.0833,0.03272,0.84039,0.89744,0.52245,0.00149359,0.00149359,0.00149359
7,1229.69,0.86286,0.90086,0.51462,0.28969,0.16779,0.08817,0.03769,0.79348,0.91569,0.48408,0.00149078,0.00149078,0.00149078
8,1399.96,0.81818,0.93409,0.48788,0.30624,0.17804,0.09929,0.04686,0.74927,0.95532,0.45312,0.00148746,0.00148746,0.00148746
9,1567.45,0.77704,0.96923,0.4496,0.27263,0.15511,0.12652,0.05615,0.73964,0.93748,0.43408,0.00148364,0.00148364,0.00148364
10,1735.15,0.75487,0.97332,0.43303,0.37178,0.17101,0.12004,0.05559,0.71353,0.94244,0.43213,0.00147931,0.00147931,0.00147931
11,1903.1,0.75116,0.96779,0.42813,0.38285,0.22452,0.12405,0.06011,0.71398,0.95701,0.42492,0.00147448,0.00147448,0.00147448
12,2070.95,0.74003,0.96266,0.4189,0.43038,0.21776,0.129,0.065,0.67555,0.96769,0.39547,0.00146916,0.00146916,0.00146916
