epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,123.313,1.45275,0.93468,1.22649,0,0,0,0,1.39988,0.50736,1.16972,0.0673811,0.000597902,0.000597902
2,227.613,1.2844,0.6269,0.96373,0.02336,0.00032,0.01201,0.00133,1.2936,0.60118,0.96238,0.0346476,0.0011977,0.0011977
3,333.102,1.20789,0.6723,0.82923,0.01221,0.00784,0.00595,0.00127,1.18034,0.64305,0.84404,0.00191322,0.00179667,0.00179667
4,437.731,1.15565,0.69054,0.7581,0.37397,0.02438,0.01823,0.00428,1.10385,0.70626,0.73707,0.00179723,0.00179723,0.00179723
5,542.421,1.04516,0.77943,0.65654,0.06814,0.0485,0.04119,0.01433,0.99695,0.77061,0.64237,0.00179508,0.00179508,0.00179508
6,643.43,0.95283,0.86132,0.58109,0.16502,0.08075,0.05304,0.01996,0.92018,0.90835,0.59832,0.00179231,0.00179231,0.00179231
7,743.604,0.88137,0.91892,0.51707,0.13984,0.15347,0.08389,0.03296,0.82503,0.93083,0.52362,0.00178894,0.00178894,0.00178894
8,844.569,0.83243,0.94806,0.48892,0.28477,0.16857,0.09211,0.03892,0.76118,0.97916,0.46442,0.00178495,0.00178495,0.00178495
9,948.485,0.77742,0.99024,0.44109,0.21204,0.19026,0.11561,0.05355,0.72708,0.97196,0.45137,0.00178036,0.00178036,0.00178036
10,1051.44,0.73973,1.0095,0.4201,0.32601,0.19658,0.11183,0.05113,0.73832,0.97644,0.44378,0.00177517,0.00177517,0.00177517
11,1152.3,0.71155,1.03078,0.40126,0.31567,0.23243,0.12098,0.05979,0.64695,1.02899,0.37539,0.00176938,0.00176938,0.00176938
12,1254.24,0.68575,1.04492,0.38206,0.26885,0.25506,0.13115,0.07012,0.6124,1.02843,0.35467,0.00176299,0.00176299,0.00176299
13,1357.79,0.66154,1.05914,0.36683,0.332,0.23253,0.1302,0.07013,0.61928,1.03056,0.37036,0.00175602,0.00175602,0.00175602
14,1460.05,0.64504,1.06839,0.36123,0.32715,0.24771,0.1297,0.07137,0.59845,1.03247,0.35108,0.00174845,0.00174845,0.00174845
15,1564.02,0.63526,1.05322,0.35244,0.37988,0.18136,0.13299,0.07163,0.65404,1.07624,0.38793,0.00174031,0.00174031,0.00174031
16,1666.37,0.62415,1.04523,0.34994,0.35384,0.2605,0.14979,0.0875,0.57074,1.04357,0.33079,0.00173159,0.00173159,0.00173159
17,1769.27,0.6093,1.05679,0.33565,0.40544,0.26769,0.15702,0.09276,0.54808,1.04379,0.31008,0.00172231,0.00172231,0.00172231
18,1872.71,0.59817,1.06795,0.3219,0.20818,0.29687,0.15995,0.09329,0.54937,1.05477,0.3157,0.00171246,0.00171246,0.00171246
19,1973.58,0.59335,1.05851,0.32261,0.34391,0.3284,0.14945,0.08456,0.54249,1.10427,0.31465,0.00170205,0.00170205,0.00170205
20,2074.55,0.57797,1.07359,0.31568,0.30387,0.28484,0.16561,0.09754,0.51413,1.06473,0.28846,0.0016911,0.0016911,0.0016911
21,2175.62,0.58189,1.04656,0.30916,0.2506,0.34587,0.17635,0.10413,0.51805,1.05,0.29729,0.0016796,0.0016796,0.0016796
22,2276.58,0.57257,1.0524,0.30708,0.25411,0.35191,0.1616,0.09736,0.51875,1.04696,0.29195,0.00166758,0.00166758,0.00166758
23,2377.04,0.55721,1.06602,0.29666,0.38357,0.29365,0.17128,0.10407,0.50627,1.07745,0.27956,0.00165502,0.00165502,0.00165502
24,2479.25,0.55843,1.05071,0.29794,0.37235,0.32096,0.16282,0.1035,0.49083,1.04041,0.27733,0.00164195,0.00164195,0.00164195
25,2580.44,0.54803,1.0454,0.29191,0.26927,0.32926,0.2004,0.12051,0.51148,1.02726,0.29355,0.00162837,0.00162837,0.00162837
26,2681.28,0.5462,1.03198,0.28785,0.36533,0.31248,0.16976,0.10345,0.48722,1.03196,0.26613,0.0016143,0.0016143,0.0016143
27,2782.12,0.53588,1.05822,0.28283,0.32523,0.31098,0.1867,0.11906,0.48014,1.0507,0.26405,0.00159973,0.00159973,0.00159973
28,2883.44,0.53528,1.05535,0.28608,0.35938,0.3499,0.17619,0.10853,0.47918,1.0516,0.26498,0.00158469,0.00158469,0.00158469
29,2984.49,0.53451,1.02192,0.28131,0.39398,0.32842,0.20104,0.12477,0.50335,0.98526,0.28524,0.00156918,0.00156918,0.00156918
30,3086.2,0.54169,1.01447,0.29014,0.30412,0.30903,0.17301,0.10326,0.53538,1.00457,0.32426,0.00155321,0.00155321,0.00155321
31,3188.38,0.54308,1.02223,0.28409,0.30906,0.31695,0.18483,0.11211,0.50346,1.01166,0.28576,0.00153679,0.00153679,0.00153679
32,3289.55,0.5366,1.03117,0.28541,0.34116,0.31694,0.21218,0.13168,0.47706,1.0459,0.26249,0.00151994,0.00151994,0.00151994
33,3390.42,0.52018,1.02143,0.27175,0.37525,0.37514,0.2035,0.13004,0.47406,1.01487,0.25966,0.00150266,0.00150266,0.00150266
34,3490.87,0.51648,1.01655,0.27013,0.33338,0.30105,0.21677,0.1342,0.48278,1.04081,0.27213,0.00148498,0.00148498,0.00148498
35,3593.73,0.51346,1.02777,0.27254,0.23982,0.37313,0.21799,0.13584,0.47176,1.03136,0.26186,0.00146689,0.00146689,0.00146689
36,3697.31,0.51745,1.045,0.27507,0.25165,0.3344,0.20498,0.13108,0.47546,1.03016,0.26331,0.00144841,0.00144841,0.00144841
37,3800.32,0.52585,1.01167,0.27501,0.3019,0.33127,0.20439,0.12935,0.47915,1.01313,0.26436,0.00142956,0.00142956,0.00142956
38,3903.19,0.5154,1.00761,0.26783,0.26655,0.36271,0.23053,0.14248,0.46733,1.00524,0.26071,0.00141035,0.00141035,0.00141035
39,4007.28,0.51056,1.01922,0.26606,0.32438,0.35954,0.24015,0.15319,0.45632,1.0385,0.24887,0.00139079,0.00139079,0.00139079
40,4111.37,0.50684,1.01552,0.26319,0.32301,0.35007,0.22714,0.148,0.46244,0.98721,0.25219,0.00137089,0.00137089,0.00137089
41,4214.02,0.50772,0.99273,0.26116,0.27089,0.34244,0.22421,0.14452,0.46214,0.99834,0.25112,0.00135067,0.00135067,0.00135067
42,4315.59,0.49822,1.0013,0.25796,0.3192,0.35424,0.2154,0.13907,0.45631,1.01542,0.24765,0.00133015,0.00133015,0.00133015
43,4418.63,0.49941,1.00528,0.25696,0.34086,0.33133,0.21946,0.13982,0.46002,0.98714,0.25046,0.00130933,0.00130933,0.00130933
44,4521.79,0.49355,0.99443,0.25737,0.3435,0.33096,0.22069,0.14421,0.461,1.00036,0.25468,0.00128823,0.00128823,0.00128823
45,4625.64,0.50508,0.99154,0.26281,0.26516,0.38941,0.21586,0.13716,0.47555,0.98092,0.2704,0.00126686,0.00126686,0.00126686
46,4728.46,0.50014,0.99735,0.26092,0.2726,0.37178,0.23731,0.15708,0.44991,1.00241,0.24356,0.00124525,0.00124525,0.00124525
47,4829.53,0.49565,0.97645,0.25596,0.44401,0.34413,0.24017,0.15743,0.44868,0.978,0.24611,0.0012234,0.0012234,0.0012234
48,4930.5,0.49099,0.97499,0.25793,0.34445,0.39425,0.23779,0.15263,0.44531,0.97192,0.24593,0.00120133,0.00120133,0.00120133
49,5031.08,0.48857,0.96767,0.252,0.30145,0.3646,0.25269,0.16733,0.44037,0.99434,0.23919,0.00117905,0.00117905,0.00117905
50,5132.4,0.49422,0.97322,0.25962,0.34782,0.34252,0.24294,0.16209,0.45402,0.9853,0.25388,0.00115658,0.00115658,0.00115658
51,5233.36,0.50501,0.97461,0.26339,0.34043,0.33858,0.2406,0.15633,0.4545,0.99298,0.2506,0.00113394,0.00113394,0.00113394
52,5333.02,0.49089,0.97108,0.25362,0.28214,0.38882,0.25995,0.1688,0.45695,0.96622,0.25331,0.00111114,0.00111114,0.00111114
53,5434.59,0.48188,0.98716,0.25248,0.32835,0.36086,0.23757,0.15557,0.44562,0.99129,0.24328,0.00108819,0.00108819,0.00108819
54,5538.91,0.48537,0.95424,0.24667,0.30662,0.3527,0.26989,0.17359,0.44291,0.95847,0.24432,0.00106512,0.00106512,0.00106512
55,5643.03,0.47978,0.95642,0.24802,0.33822,0.36572,0.25713,0.16872,0.44654,0.96906,0.24537,0.00104193,0.00104193,0.00104193
56,5745.3,0.47246,0.96285,0.24545,0.28805,0.34793,0.2712,0.17266,0.44723,0.96034,0.24673,0.00101865,0.00101865,0.00101865
57,5847.06,0.48185,0.95137,0.24813,0.40226,0.33203,0.26993,0.17313,0.4415,0.96313,0.24881,0.000995285,0.000995285,0.000995285
58,5950.17,0.46848,0.97332,0.24047,0.36545,0.36216,0.25544,0.16805,0.43282,0.97204,0.23754,0.000971857,0.000971857,0.000971857
59,6051.09,0.46764,0.95446,0.24368,0.3889,0.3853,0.27803,0.18273,0.44199,0.93737,0.24435,0.000948382,0.000948382,0.000948382
60,6153.59,0.4713,0.93547,0.24265,0.28622,0.35674,0.26086,0.17636,0.44049,0.93429,0.24361,0.000924874,0.000924874,0.000924874
61,6256.99,0.47339,0.96029,0.23978,0.34907,0.37477,0.25527,0.17335,0.43414,0.98298,0.23485,0.00090135,0.00090135,0.00090135
62,6360.49,0.47095,0.96525,0.24137,0.28722,0.41556,0.28164,0.18785,0.43038,0.9527,0.23219,0.000877826,0.000877826,0.000877826
63,6464.84,0.46854,0.93047,0.24254,0.3989,0.38711,0.29793,0.19863,0.44722,0.93499,0.24392,0.000854318,0.000854318,0.000854318
64,6567.35,0.46373,0.93632,0.23981,0.3015,0.40567,0.2881,0.19241,0.43729,0.93956,0.23835,0.000830843,0.000830843,0.000830843
65,6668.49,0.47101,0.92732,0.24311,0.32419,0.38854,0.28264,0.19115,0.42958,0.93925,0.23363,0.000807415,0.000807415,0.000807415
66,6769.36,0.46797,0.93512,0.23507,0.28322,0.40299,0.28216,0.18742,0.42423,0.95771,0.22963,0.000784053,0.000784053,0.000784053
67,6869.16,0.45902,0.92998,0.23675,0.29847,0.39188,0.29703,0.19968,0.43183,0.92459,0.23713,0.00076077,0.00076077,0.00076077
68,6969.67,0.46394,0.90923,0.23618,0.37018,0.37074,0.31083,0.20388,0.43076,0.94283,0.23248,0.000737584,0.000737584,0.000737584
69,7070.67,0.47136,0.93339,0.24425,0.38474,0.3573,0.28721,0.19297,0.42485,0.9483,0.22889,0.00071451,0.00071451,0.00071451
70,7170.63,0.46887,0.9239,0.23889,0.31993,0.40858,0.28666,0.1892,0.42791,0.9433,0.23161,0.000691564,0.000691564,0.000691564
71,7270.6,0.46303,0.93277,0.23649,0.33262,0.41381,0.31129,0.20708,0.42628,0.93498,0.23146,0.000668762,0.000668762,0.000668762
72,7370.52,0.46185,0.92044,0.23834,0.37463,0.40853,0.32908,0.22376,0.42943,0.91644,0.23449,0.00064612,0.00064612,0.00064612
73,7471.03,0.46425,0.89783,0.23705,0.39934,0.39545,0.30978,0.20957,0.4266,0.94162,0.22898,0.000623652,0.000623652,0.000623652
74,7570.83,0.45842,0.89047,0.23621,0.31531,0.38413,0.30077,0.20002,0.42344,0.93798,0.23253,0.000601374,0.000601374,0.000601374
75,7670.44,0.46246,0.88139,0.23824,0.30064,0.41529,0.30517,0.20605,0.42544,0.91316,0.22883,0.000579303,0.000579303,0.000579303
76,7773.44,0.45944,0.88716,0.23169,0.38499,0.35965,0.31592,0.21505,0.42597,0.91334,0.23601,0.000557452,0.000557452,0.000557452
77,7877.11,0.45353,0.86569,0.2297,0.34002,0.42202,0.32841,0.21913,0.42948,0.88817,0.23504,0.000535836,0.000535836,0.000535836
78,7978.33,0.45065,0.85782,0.23258,0.41512,0.40704,0.33265,0.22624,0.42262,0.89416,0.23068,0.000514471,0.000514471,0.000514471
79,8079.32,0.44512,0.88777,0.2296,0.36413,0.39549,0.31138,0.21178,0.42106,0.92328,0.23014,0.000493371,0.000493371,0.000493371
80,8183.09,0.4558,0.8604,0.23413,0.52304,0.37434,0.34761,0.23494,0.4331,0.8843,0.23591,0.000472551,0.000472551,0.000472551
81,8283.5,0.45848,0.86066,0.23205,0.37665,0.39363,0.33648,0.22437,0.43407,0.88154,0.24162,0.000452025,0.000452025,0.000452025
82,8383.93,0.45,0.85905,0.22813,0.34493,0.47187,0.35137,0.2299,0.43227,0.87615,0.23639,0.000431807,0.000431807,0.000431807
83,8484.15,0.45319,0.84785,0.23107,0.38282,0.42798,0.34652,0.23336,0.43225,0.87335,0.23517,0.00041191,0.00041191,0.00041191
84,8584.9,0.45308,0.8439,0.23163,0.35106,0.42372,0.34741,0.23275,0.43258,0.8744,0.23577,0.000392349,0.000392349,0.000392349
85,8685.19,0.44983,0.82839,0.22941,0.50972,0.40412,0.36742,0.24578,0.43568,0.84851,0.24254,0.000373137,0.000373137,0.000373137
86,8785.95,0.44582,0.84105,0.22907,0.39633,0.42127,0.35405,0.23351,0.42793,0.87646,0.23901,0.000354287,0.000354287,0.000354287
87,8885.84,0.44618,0.84193,0.22659,0.33956,0.45049,0.34088,0.22881,0.42973,0.87862,0.24076,0.000335811,0.000335811,0.000335811
88,8986.15,0.44487,0.83936,0.22787,0.33598,0.46398,0.33342,0.22544,0.42921,0.87739,0.23823,0.000317724,0.000317724,0.000317724
89,9086.37,0.45164,0.82685,0.22718,0.44596,0.42763,0.36083,0.24391,0.43411,0.84407,0.24028,0.000300036,0.000300036,0.000300036
90,9186.22,0.44736,0.81577,0.23302,0.37856,0.39657,0.34731,0.23234,0.42614,0.86309,0.23521,0.00028276,0.00028276,0.00028276
91,9286.27,0.44188,0.8266,0.22465,0.43307,0.4376,0.35926,0.24247,0.42377,0.8623,0.23471,0.000265908,0.000265908,0.000265908
92,9386.55,0.44658,0.81354,0.2257,0.46487,0.44146,0.35072,0.23891,0.42027,0.85301,0.23085,0.000249492,0.000249492,0.000249492
93,9486.96,0.44961,0.80608,0.22368,0.51553,0.39277,0.37305,0.24886,0.42242,0.86021,0.23264,0.000233523,0.000233523,0.000233523
94,9588.45,0.44053,0.81038,0.22444,0.48009,0.40471,0.3693,0.25195,0.42369,0.84594,0.23484,0.000218011,0.000218011,0.000218011
95,9689.29,0.43858,0.81259,0.2225,0.5044,0.41308,0.36758,0.25027,0.42175,0.84499,0.23076,0.000202968,0.000202968,0.000202968
96,9790.42,0.43871,0.79997,0.22255,0.49805,0.42819,0.38426,0.25938,0.41751,0.84468,0.22662,0.000188403,0.000188403,0.000188403
