epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,190.891,1.74294,3.99204,1.81921,0.00092,0.01399,0.00037,7e-05,1.41973,0.7616,1.16321,0.00332751,0.00332751,0.00332751
2,414.718,1.57746,0.43899,1.22321,0.00085,0.02647,0.00045,0.00011,1.47604,0.49196,1.33122,0.00663886,0.00663886,0.00663886
3,636.451,1.49875,0.47507,1.09015,0.00113,0.03976,0.00066,0.00014,1.32171,0.62788,0.99366,0.00992821,0.00992821,0.00992821
4,858.065,1.41559,0.53361,0.95663,0.00295,0.02572,0.00137,0.00028,1.29457,0.62907,0.98865,0.009901,0.009901,0.009901
5,1079.05,1.35626,0.56365,0.89843,0.0069,0.02425,0.00194,0.00046,1.2961,0.62881,0.97092,0.009868,0.009868,0.009868
6,1302.38,1.30946,0.58721,0.82919,0.17306,0.02581,0.00256,0.00054,1.24024,0.66302,0.89349,0.009835,0.009835,0.009835
7,1522.44,1.27387,0.60876,0.76402,0.26966,0.04899,0.00829,0.00193,1.15124,0.71596,0.7684,0.009802,0.009802,0.009802
8,1743.39,1.22274,0.63668,0.71481,0.20392,0.06147,0.01532,0.00416,1.11309,0.73801,0.72,0.009769,0.009769,0.009769
9,1966.14,1.15628,0.69695,0.67008,0.29832,0.08812,0.02739,0.00916,1.015,0.81693,0.63911,0.009736,0.009736,0.009736
10,2187.68,1.08523,0.75336,0.61052,0.3205,0.11893,0.04067,0.01563,0.91486,0.9062,0.56825,0.009703,0.009703,0.009703
11,2410.22,1.00811,0.81334,0.55747,0.42822,0.11973,0.05007,0.02366,0.83286,0.96046,0.52753,0.00967,0.00967,0.00967
12,2632.33,0.92722,0.87464,0.5116,0.25228,0.1607,0.06603,0.03113,0.76885,1.0027,0.47677,0.009637,0.009637,0.009637
13,2851.12,0.88338,0.90632,0.48252,0.28158,0.18457,0.08062,0.04216,0.70549,1.02951,0.43305,0.009604,0.009604,0.009604
14,3071.69,0.86567,0.90376,0.45808,0.38555,0.18109,0.09167,0.04569,0.68619,1.03908,0.41317,0.009571,0.009571,0.009571
15,3294.82,0.83196,0.92522,0.43476,0.31695,0.22919,0.09863,0.05235,0.67555,1.03976,0.41073,0.009538,0.009538,0.009538
16,3518.93,0.77916,0.94985,0.41074,0.29624,0.20043,0.10629,0.0588,0.63556,1.06551,0.37841,0.009505,0.009505,0.009505
17,3742.27,0.77445,0.94738,0.40372,0.31406,0.20659,0.11074,0.06425,0.64489,1.0546,0.39191,0.009472,0.009472,0.009472
18,3964.59,0.74663,0.96067,0.38444,0.40645,0.20749,0.12825,0.07285,0.6233,1.04948,0.37283,0.009439,0.009439,0.009439
19,4183.33,0.7317,0.96664,0.37638,0.40334,0.25127,0.14497,0.08237,0.58685,1.05006,0.34336,0.009406,0.009406,0.009406
20,4401.52,0.7215,0.95559,0.36619,0.37087,0.23348,0.14277,0.0842,0.5815,1.03397,0.33866,0.009373,0.009373,0.009373
21,4623.98,0.70943,0.95163,0.36124,0.37133,0.24108,0.14864,0.08856,0.57654,1.02103,0.33884,0.00934,0.00934,0.00934
